po_id,po_date,supplier_id,product_id,ordered_qty,lead_time_days,late_flag
PO00558,2024-05-20,S009,P0019,402,9,0
PO00559,2025-01-06,S008,P0109,239,27,0
PO00560,2024-08-05,S017,P0039,117,7,0
PO00561,2024-06-17,S001,P0088,258,32,1
PO00562,2025-01-15,S001,P0014,204,17,0
PO00563,2024-02-09,S007,P0029,499,4,0
PO00564,2024-07-17,S016,P0042,78,13,0
PO00565,2024-09-30,S013,P0014,329,34,0
PO00566,2024-09-12,S011,P0116,499,32,1
PO00567,2024-04-20,S009,P0011,54,19,1
PO00568,2024-08-24,S003,P0075,411,26,0
PO00569,2024-10-24,S016,P0047,36,15,0
PO00570,2024-09-02,S007,P0104,135,6,1
PO00571,2024-10-14,S016,P0024,439,26,0
PO00572,2024-04-17,S010,P0022,445,20,0
PO00573,2024-12-15,S003,P0049,435,31,0
PO00574,2024-07-07,S003,P0055,396,16,0
PO00575,2025-02-18,S001,P0055,432,34,0
PO00576,2024-01-10,S003,P0085,136,21,0
PO00577,2024-06-08,S016,P0070,193,5,1
PO00578,2024-03-16,S019,P0078,128,6,1
PO00579,2024-08-21,S003,P0073,472,27,0
PO00580,2024-04-12,S019,P0035,35,11,0
PO00581,2024-11-05,S010,P0044,371,23,1
PO00582,2025-01-05,S012,P0036,353,25,0
PO00583,2024-03-29,S004,P0089,296,16,0
PO00584,2024-03-08,S003,P0015,38,31,0
PO00585,2025-01-02,S004,P0045,199,32,0
PO00586,2024-05-31,S007,P0062,182,27,0
PO00587,2024-07-01,S013,P0092,134,19,0
PO00588,2024-04-02,S016,P0050,176,31,0
PO00589,2024-06-27,S017,P0078,258,4,0
PO00590,2024-04-07,S016,P0013,165,16,0
PO00591,2024-10-06,S009,P0105,143,24,1
PO00592,2024-07-28,S011,P0031,406,18,0
PO00593,2024-11-26,S004,P0005,33,21,0
PO00594,2024-05-11,S010,P0083,201,18,0
PO00595,2024-07-31,S010,P0008,434,13,0
PO00596,2024-04-18,S017,P0013,73,30,1
PO00597,2025-01-27,S003,P0041,322,29,0
PO00598,2024-08-07,S008,P0017,453,16,0
PO00599,2024-03-13,S017,P0032,394,9,0
PO00600,2024-04-24,S020,P0005,357,7,0
